ID,Name,Team,Current?,Position,Age,Games Played,Minutes/Game,Usage %,Turnover %,Free Throw Attempts,Free Throw %,2-pt Attempts,2-Point %,3-pt Attempts,3-Point %,Effective FG %,True Shooting %,Points per Game,Rebounds per Game,Assists per Game,Steals per Game,Blocks per Game,Turovers per Game,Points + Rebounds,Points + Assists,Points + Rebounds + Assists,Versatility Index,Offensive Rating,Defensive Rating,Team ID,,,Unique team IDs,
1,Shai Gilgeous-Alexander,Okc,*,G,26.8,76,34.2,34.8,9.9,669,0.898,1221,0.571,435,0.375,0.569,0.637,32.7,5,6.4,1.7,1,2.4,37.7,39.1,44.1,11.9,128.8,106,1,,,Okc,1
2,Giannis Antetokounmpo,Mil,*,F,30.4,67,34.2,35.2,13.5,707,0.617,1256,0.62,63,0.222,0.607,0.625,30.4,11.9,6.5,0.9,1.2,3.1,42.3,36.9,48.8,15.6,122.5,105.3,2,,,Mil,2
3,Nikola Jokic,Den,*,C,30.1,70,36.7,29.5,14.4,451,0.8,1033,0.627,330,0.418,0.627,0.663,29.6,12.7,10.2,1.8,0.6,3.3,42.3,39.8,52.6,17.1,132.9,108,3,,,Den,3
4,Luka Doncic,Lal,*,F-G,26.1,28,35.1,34.5,15.7,249,0.791,290,0.493,269,0.379,0.53,0.59,28.2,8.1,7.5,1.6,0.4,3.7,36.3,35.7,43.8,13.6,115.8,107.5,4,,,Lal,4
5,Luka Doncic,Dal,,F-G,26.1,22,35.7,33.2,13.9,146,0.767,254,0.555,212,0.354,0.544,0.584,28.1,8.3,7.8,2,0.4,3.4,36.5,36,44.3,13.7,115.3,108.1,5,,,Dal,5
6,Anthony Edwards,Min,*,G,23.7,79,36.3,31.4,13.4,496,0.837,801,0.501,811,0.395,0.547,0.595,27.6,5.7,4.5,1.2,0.6,3.2,33.3,32.1,37.8,9.8,114.8,109.7,6,,,Min,6
7,Jayson Tatum,Bos,*,F-G,27.1,72,36.4,31.2,12.5,440,0.814,737,0.559,728,0.343,0.537,0.582,26.8,8.7,6,1.1,0.5,2.9,35.5,32.8,41.5,12.3,117,105.7,7,,,Bos,7
8,Kevin Durant,Pho,*,F,36.5,62,36.5,28.7,14.5,361,0.839,752,0.574,372,0.43,0.598,0.642,26.6,6,4.2,0.8,1.2,3.1,32.6,30.8,36.8,9.6,116.9,118,8,,,Pho,8
9,Tyrese Maxey,Phi,*,G,24.4,52,37.7,29.8,10.2,289,0.879,613,0.515,478,0.337,0.511,0.562,26.3,3.3,6.1,1.8,0.4,2.4,29.7,32.4,35.8,8.6,114.3,116.8,9,,,Phi,9
10,Cade Cunningham,Det,*,G,23.6,70,35,33.2,17.5,370,0.846,1039,0.515,418,0.356,0.521,0.565,26.1,6.1,9.1,1,0.8,4.4,32.2,35.3,41.3,12.9,111.5,108.7,10,,,Det,10
11,Jalen Brunson,Nyk,*,G,28.6,65,35.4,29.5,12,448,0.821,803,0.539,397,0.383,0.551,0.605,26,2.9,7.3,0.9,0.1,2.5,28.9,33.3,36.2,9.3,122.9,113.9,11,,,Nyk,11
12,Paolo Banchero,Orl,*,F,22.4,46,34.4,33.6,13,385,0.727,639,0.509,272,0.32,0.5,0.551,25.9,7.5,4.8,0.8,0.6,3,33.4,30.7,38.2,11.4,109.2,106.8,12,,,Orl,12
