ID,Name,Team ID,Points per Game,Rebounds per Game,Assists per Game
1,Shai Gilgeous-Alexander,1,32.7,5,6.4
2,Giannis Antetokounmpo,2,30.4,11.9,6.5
3,Nikola Jokic,3,29.6,12.7,10.2
4,Luka Doncic,4,28.2,8.1,7.5
5,Luka Doncic,5,28.1,8.3,7.8
6,Anthony Edwards,6,27.6,5.7,4.5
7,Jayson Tatum,7,26.8,8.7,6
8,Kevin Durant,8,26.6,6,4.2
9,Tyrese Maxey,9,26.3,3.3,6.1
10,Cade Cunningham,10,26.1,6.1,9.1
11,Jalen Brunson,11,26,2.9,7.3
12,Paolo Banchero,12,25.9,7.5,4.8
13,Anthony Davis,4,25.7,11.9,3.4
14,Devin Booker,8,25.6,4.1,7.1
15,LaMelo Ball,13,25.2,4.9,7.4
16,De'Aaron Fox,14,25,5,6.1
17,Damian Lillard,2,24.9,4.7,7.1
18,Kyrie Irving,5,24.7,4.8,4.6
19,Zion Williamson,15,24.6,7.2,5.3
20,Stephen Curry,16,24.5,4.4,6
21,Karl-Anthony Towns,11,24.4,12.8,3.1
22,LeBron James,4,24.4,7.8,8.2
23,Victor Wembanyama,17,24.3,11,3.7
24,Franz Wagner,12,24.2,5.7,4.7
25,Trae Young,18,24.2,3.1,11.6
26,Cam Thomas,19,24,3.3,3.8
27,Donovan Mitchell,20,24,4.5,5
28,Zach LaVine,21,24,4.8,4.5
29,Tyler Herro,22,23.9,5.2,5.5
30,Joel Embiid,9,23.8,8.2,4.5
31,Ja Morant,23,23.2,4.1,7.3
32,James Harden,24,22.8,5.8,8.7
33,Zach LaVine,14,22.4,3.5,3.8
34,Jaren Jackson Jr.,23,22.2,5.6,2
35,Jaylen Brown,7,22.2,5.8,4.5
36,Brandon Ingram,15,22.2,5.6,5.2
37,DeMar DeRozan,14,22.2,3.9,4.4
38,Quentin Grimes,9,21.9,5.2,4.5
39,Norman Powell,24,21.8,3.2,2.1
40,Jalen Williams,1,21.6,5.3,5.2
41,Kawhi Leonard,24,21.5,5.9,3.1
42,Jamal Murray,3,21.4,3.9,6
43,Trey Murphy III,15,21.2,5.1,3.5
44,RJ Barrett,25,21.1,6.3,5.4
45,CJ McCollum,15,21.1,3.8,4.1
46,Brandon Miller,13,21,4.9,3.6
47,Jalen Green,26,21,4.6,3.4
48,Darius Garland,20,20.6,2.9,6.7
49,Jordan Poole,27,20.5,3,4.4
50,Coby White,21,20.4,3.7,4.5
51,Miles Bridges,13,20.3,7.5,3.9
52,Austin Reaves,4,20.2,4.5,5.8
53,Pascal Siakam,28,20.2,6.9,3.4
54,Anthony Davis,5,20,10.1,4.4
55,De'Aaron Fox,17,19.7,4.3,6.8
56,Kristaps Porzingis,7,19.5,6.8,2.1
57,Scottie Barnes,25,19.3,7.7,5.8
58,Anfernee Simons,29,19.3,2.7,4.8
59,Desmond Bane,23,19.2,6.1,5.3
60,Alperen Sengun,26,19.1,10.4,4.9
61,Domantas Sabonis,14,19.1,13.9,6
62,De'Andre Hunter,18,19,3.9,1.5
63,John Collins,30,19,8.2,2
64,Lauri Markkanen,30,19,5.9,1.5
65,Andrew Wiggins,22,19,4.2,3.3
66,Jalen Johnson,18,18.9,10,5
67,Cameron Johnson,19,18.8,4.3,3.4
68,Julius Randle,6,18.7,7.1,4.7
69,Tyrese Haliburton,28,18.6,3.5,9.2
70,Shaedon Sharpe,29,18.5,4.5,2.8
71,Evan Mobley,20,18.5,9.3,3.2
72,Nikola Vucevic,21,18.5,10.1,3.5
73,Collin Sexton,30,18.4,2.7,4.2
74,Dennis Schroder,19,18.4,3,6.6
75,Michael Porter Jr.,3,18.2,7,2.1
76,Bam Adebayo,22,18.1,9.6,4.3
77,O.G. Anunoby,11,18,4.8,2.2
78,Jimmy Butler,16,17.9,5.5,5.9
79,Jaden Ivey,10,17.6,4.1,4
80,Mikal Bridges,11,17.6,3.2,3.7
81,Andrew Wiggins,16,17.6,4.6,2.3
82,Dejounte Murray,15,17.5,6.5,7.4
83,Malik Monk,14,17.2,3.8,5.6
84,Immanuel Quickley,25,17.1,3.5,5.8
85,Jacob Toppin,18,17,4,2
86,Bradley Beal,8,17,3.3,3.7
87,Jimmy Butler,22,17,5.2,4.8
88,Deni Avdija,29,16.9,7.3,3.9
89,Keyonte George,30,16.8,3.8,5.6
90,Ivica Zubac,24,16.8,12.6,2.7
91,Derrick White,7,16.4,4.5,4.8
92,Devin Vassell,17,16.3,4,2.9
93,Malik Beasley,10,16.3,2.6,1.7
94,Jalen Suggs,12,16.2,4,3.7
95,Jordan Clarkson,30,16.2,3.2,3.7
96,Paul George,9,16.2,5.3,4.3
97,Bennedict Mathurin,28,16.1,5.3,1.9
98,Myles Turner,28,15.6,6.5,1.5
99,Christian Braun,3,15.4,5.2,2.6
100,Jared McCain,9,15.3,2.4,2.6
101,Mark Williams,13,15.3,10.2,2.5
102,Jonathan Kuminga,16,15.3,4.6,2.2
103,Kyle Kuzma,27,15.2,5.8,2.5
104,Kelly Oubre Jr.,9,15.1,6.1,1.8
105,Chet Holmgren,1,15,8,2
106,Caris LeVert,18,14.9,3.7,2.9
